yyyy-mm-dd,HH:MM,team1,team2,score1,score2
05/12/10,00:00,Lecce,Genoa,1,3
05/12/10,00:00,Parma,Udinese,2,1
05/12/10,00:00,Sampdoria,Bari,3,0
06/12/10,00:00,Napoli,Palermo,1,0
08/12/10,00:00,Bologna,Chievo,2,1
11/12/10,00:00,Genoa,Napoli,0,1
11/12/10,00:00,Palermo,Parma,3,1
11/12/10,00:00,Udinese,Fiorentina,2,1
12/12/10,00:00,Bologna,Milan,0,3
12/12/10,00:00,Brescia,Sampdoria,1,0
12/12/10,00:00,Cagliari,Catania,3,0
12/12/10,00:00,Juventus,Lazio,2,1
12/12/10,00:00,Lecce,Chievo,3,2
12/12/10,00:00,Roma,Bari,1,0
18/12/10,00:00,Cesena,Cagliari,1,0
18/12/10,00:00,Milan,Roma,0,1
19/12/10,00:00,Bari,Palermo,1,1
19/12/10,00:00,Catania,Brescia,1,0
19/12/10,00:00,Chievo,Juventus,1,1
19/12/10,00:00,Lazio,Udinese,3,2
19/12/10,00:00,Napoli,Lecce,1,0
19/12/10,00:00,Parma,Bologna,0,0
06/01/11,00:00,Bologna,Fiorentina,1,1
06/01/11,00:00,Brescia,Cesena,1,2
06/01/11,00:00,Cagliari,Milan,0,1
06/01/11,00:00,Genoa,Lazio,0,0
06/01/11,00:00,Inter,Napoli,3,1
06/01/11,00:00,Juventus,Parma,1,4
06/01/11,00:00,Lecce,Bari,0,1
06/01/11,00:00,Palermo,Sampdoria,3,0
06/01/11,00:00,Roma,Catania,4,2
06/01/11,00:00,Udinese,Chievo,2,0
09/01/11,00:00,Bari,Bologna,0,2
09/01/11,00:00,Catania,Inter,1,2
09/01/11,00:00,Cesena,Genoa,0,0
09/01/11,00:00,Chievo,Palermo,0,0
09/01/11,00:00,Fiorentina,Brescia,3,2
09/01/11,00:00,Lazio,Lecce,1,2
09/01/11,00:00,Milan,Udinese,4,4
09/01/11,00:00,Napoli,Juventus,3,0
